"Timestamp","ElapsedSeconds","ProcessCount","CpuPercentMachine","WorkingSetBytes","PrivateBytes","HandleCount"
"2026-08-13T11:29:34.2117262+03:00","0","7",,"494874624","239087616","3674"
"2026-08-13T11:29:39.5613207+03:00","5.4","7","0","498147328","242143232","3670"
"2026-08-13T11:29:44.8634368+03:00","10.7","7","0","505335808","249647104","3666"
"2026-08-13T11:29:50.1022328+03:00","15.9","7","0","507580416","251924480","3666"
"2026-08-13T11:29:55.3372834+03:00","21.1","7","0","511156224","254693376","3664"
"2026-08-13T11:30:00.5658744+03:00","26.4","7","0","514523136","258568192","3669"
"2026-08-13T11:30:05.7942690+03:00","31.6","7","0","480387072","223330304","3663"
"2026-08-13T11:30:11.0027477+03:00","36.8","7","0","480534528","223150080","3641"
"2026-08-13T11:30:16.2515935+03:00","42","7","0","481497088","224034816","3641"
"2026-08-13T11:30:21.4890238+03:00","47.3","7","0","483680256","226385920","3641"
"2026-08-13T11:30:26.7126391+03:00","52.5","7","0","484962304","227618816","3639"
"2026-08-13T11:30:31.9378398+03:00","57.7","7","0","486825984","229609472","3640"
