"Timestamp","ElapsedSeconds","ProcessCount","CpuPercentMachine","WorkingSetBytes","PrivateBytes","HandleCount"
"2026-08-13T14:21:46.4102412+03:00","0","7",,"462909440","210526208","3779"
"2026-08-13T14:21:51.8485044+03:00","5.4","7","3.065","463745024","211144704","3773"
"2026-08-13T14:21:57.1352081+03:00","10.7","7","3.153","465707008","213352448","3773"
"2026-08-13T14:22:02.3953619+03:00","16","7","1.584","468254720","216088576","3773"
"2026-08-13T14:22:07.6652203+03:00","21.3","7","3.163","469561344","216895488","3773"
"2026-08-13T14:22:12.9127848+03:00","26.5","7","3.176","470921216","215105536","3763"
"2026-08-13T14:22:18.1527800+03:00","31.7","7","3.181","473092096","217436160","3758"
"2026-08-13T14:22:23.5282664+03:00","37.1","7","3.1","476418048","218800128","3756"
"2026-08-13T14:22:28.7805091+03:00","42.4","7","3.173","474607616","217276416","3812"
"2026-08-13T14:22:34.0438237+03:00","47.6","7","3.167","474767360","217600000","3783"
"2026-08-13T14:22:39.2973968+03:00","52.9","7","3.172","472772608","221089792","3751"
"2026-08-13T14:22:44.6663973+03:00","58.3","7","3.104","472907776","215375872","3751"
"2026-08-13T14:22:49.9320154+03:00","63.5","7","3.165","474066944","216330240","3747"
"2026-08-13T14:22:55.1987296+03:00","68.8","7","3.165","476131328","218296320","3747"
"2026-08-13T14:23:00.4278589+03:00","74","7","3.187","472489984","214052864","3743"
"2026-08-13T14:23:05.6861967+03:00","79.3","7","3.17","472784896","214171648","3743"
"2026-08-13T14:23:10.9381212+03:00","84.5","7","3.173","474796032","216363008","3750"
"2026-08-13T14:23:16.1858227+03:00","89.8","7","3.176","476676096","218054656","3747"
"2026-08-13T14:23:21.4116274+03:00","95","7","3.189","476119040","217669632","3749"
"2026-08-13T14:23:26.6517792+03:00","100.2","7","3.181","478117888","219709440","3727"
"2026-08-13T14:23:31.8881865+03:00","105.5","7","3.183","474484736","215580672","3727"
"2026-08-13T14:23:37.1343377+03:00","110.7","7","3.177","474718208","215793664","3729"
"2026-08-13T14:23:42.3667221+03:00","116","7","3.185","476127232","217378816","3722"
